epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5030637383460999,0.49867984652519226,1.9346126317977905,0.5305623412132263,0.5,0.6931188106536865
1,0.53125,0.501953125,0.6930637955665588,0.5305623412132263,0.5,0.6930485367774963
2,0.5281862616539001,0.5000715851783752,0.6930362582206726,0.5305623412132263,0.5,0.6929714679718018
3,0.529411792755127,0.5,0.692950963973999,0.5305623412132263,0.5,0.6928972005844116
4,0.529411792755127,0.4752603769302368,0.6928819417953491,0.5305623412132263,0.5,0.6928102374076843
5,0.5287989974021912,0.49942129850387573,0.6928153038024902,0.5305623412132263,0.5,0.6927450895309448
6,0.529411792755127,0.5,0.6927247643470764,0.5305623412132263,0.5,0.6926600337028503
7,0.529411792755127,0.5,0.6926479935646057,0.5305623412132263,0.5,0.6925793290138245
8,0.529411792755127,0.5,0.6925739049911499,0.5305623412132263,0.5,0.6925155520439148
9,0.529411792755127,0.5,0.6925044059753418,0.5305623412132263,0.5,0.6924320459365845
10,0.529411792755127,0.5,0.6924286484718323,0.5305623412132263,0.5,0.6923562288284302
11,0.529411792755127,0.5109230279922485,0.6923696398735046,0.5305623412132263,0.5,0.6922990083694458
12,0.529411792755127,0.5,0.6923025250434875,0.5305623412132263,0.5,0.6922157406806946
13,0.529411792755127,0.5,0.6922391057014465,0.5305623412132263,0.5,0.6921642422676086
14,0.529411792755127,0.5,0.6921969652175903,0.5305623412132263,0.5,0.6920842528343201
15,0.529411792755127,0.5,0.6921283602714539,0.5305623412132263,0.5,0.692039430141449
16,0.529411792755127,0.5,0.6920768618583679,0.5305623412132263,0.5,0.6919991374015808
17,0.529411792755127,0.5,0.6920344233512878,0.5305623412132263,0.5,0.6919527053833008
18,0.529411792755127,0.49508100748062134,0.6919939517974854,0.5305623412132263,0.5,0.691907525062561
19,0.529411792755127,0.5,0.6919471621513367,0.5305623412132263,0.5,0.691858172416687
20,0.529411792755127,0.5,0.6919255256652832,0.5305623412132263,0.5,0.6918107271194458
21,0.529411792755127,0.5,0.6918755173683167,0.5305623412132263,0.5,0.6917888522148132
22,0.529411792755127,0.5,0.6918737888336182,0.5305623412132263,0.5,0.6917741894721985
23,0.529411792755127,0.5,0.6918129920959473,0.5305623412132263,0.5,0.6917114853858948
24,0.529411792755127,0.5,0.6917778253555298,0.5305623412132263,0.5,0.6916860342025757
25,0.529411792755127,0.5,0.6917561292648315,0.5305623412132263,0.5,0.6916465163230896
26,0.529411792755127,0.5,0.6917263865470886,0.5305623412132263,0.5,0.6916291117668152
27,0.529411792755127,0.49746817350387573,0.6917039752006531,0.5305623412132263,0.5,0.6916035413742065
28,0.529411792755127,0.5,0.6916885375976562,0.5305623412132263,0.5,0.691584587097168
29,0.529411792755127,0.5,0.6916611790657043,0.5305623412132263,0.5,0.6915621161460876
30,0.529411792755127,0.5,0.6916494369506836,0.5305623412132263,0.5,0.6915346384048462
31,0.529411792755127,0.5,0.6916305422782898,0.5305623412132263,0.5,0.6915329694747925
32,0.529411792755127,0.5,0.6916180849075317,0.5305623412132263,0.5,0.6915081143379211
33,0.529411792755127,0.5,0.6915963292121887,0.5305623412132263,0.5,0.6914915442466736
34,0.529411792755127,0.5,0.6915852427482605,0.5305623412132263,0.5,0.6914843916893005
35,0.529411792755127,0.5,0.691577672958374,0.5305623412132263,0.5,0.6914753913879395
36,0.529411792755127,0.5,0.6915704607963562,0.5305623412132263,0.5,0.6914704442024231
37,0.529411792755127,0.5,0.6915655732154846,0.5305623412132263,0.5,0.6914631724357605
38,0.529411792755127,0.5,0.6915627121925354,0.5305623412132263,0.5,0.6914552450180054
39,0.529411792755127,0.5,0.691555380821228,0.5305623412132263,0.5,0.6914525628089905
40,0.529411792755127,0.5,0.6915488839149475,0.5305623412132263,0.5,0.6914486289024353
41,0.529411792755127,0.5,0.6915491819381714,0.5305623412132263,0.5,0.6914473176002502
42,0.529411792755127,0.5,0.6915439367294312,0.5305623412132263,0.5,0.6914430856704712
43,0.529411792755127,0.5,0.6915414929389954,0.5305623412132263,0.5,0.6914411783218384
44,0.529411792755127,0.5,0.6915392279624939,0.5305623412132263,0.5,0.691436767578125
45,0.529411792755127,0.5,0.6915394067764282,0.5305623412132263,0.5,0.6914361715316772
46,0.529411792755127,0.5,0.691537082195282,0.5305623412132263,0.5,0.6914340257644653
47,0.529411792755127,0.5,0.6915341019630432,0.5305623412132263,0.5,0.6914327144622803
48,0.529411792755127,0.5,0.6915333867073059,0.5305623412132263,0.5,0.6914302706718445
49,0.529411792755127,0.5,0.6915315389633179,0.5305623412132263,0.5,0.6914296746253967
